Strategy,Coverage,R_value,Size
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,2,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,8,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,9,
DV,1,1,1,
DV,1,1,5,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,30,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,4,
DV,1,1,449,
DV,1,1,1,
DV,1,1,1,
DV,1,1,43,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,2,
DV,1,1,21,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,28,
DV,1,1,2,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,4,
DV,1,1,1,
DV,1,1,1,
DV,1,1,9,
DV,1,1,3,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,442,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,3,
DV,1,1,11,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,46,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,5,
DV,1,1,1,
DV,1,1,2,
DV,1,1,356,
DV,1,1,5,
DV,1,1,3,
DV,1,1,12,
DV,1,1,1,
DV,1,1,25,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,38,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,9,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,4,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,1,
DV,1,1,8,
DV,1,1,2,
DV,1,1,1,
DV,1,1,23,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,10,
DV,1,1,1,
DV,1,1,2,
DV,1,1,6,
DV,1,1,1,
DV,1,1,12,
DV,1,1,1,
DV,1,1,40,
DV,1,1,1,
DV,1,1,1,
DV,1,1,25,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,1,
DV,1,1,7,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,3,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,8,
DV,1,1,8,
DV,1,1,2,
DV,1,1,1,
DV,1,1,3,
DV,1,1,10,
DV,1,1,1,
DV,1,1,6,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,5,
DV,1,1,3,
DV,1,1,1,
DV,1,1,3,
DV,1,1,6,
DV,1,1,1,
DV,1,1,1,
DV,1,1,58,
DV,1,1,7,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,4,
DV,1,1,13,
DV,1,1,1,
DV,1,1,7,
DV,1,1,3,
DV,1,1,3,
DV,1,1,1,
DV,1,1,2,
DV,1,1,3,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,4,
DV,1,1,189,
DV,1,1,2,
DV,1,1,1,
DV,1,1,8,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,79,
DV,1,1,1,
DV,1,1,45,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,7,
DV,1,1,7,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
